stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 59188   2   2  96   0   0
9 58961   2   1  97   0   0
5 58268   2   1  96   0   0
5 58573   2   1  96   0   0
0 58929   2   1  96   0   0
4 58509   2   1  97   0   0
3 59428   3   1  96   0   0
5 58651   3   1  96   0   0
8 58134   2   1  97   0   0
3 58830   2   1  97   0   0
2 60026   2   1  97   0   0
8 57398   2   1  97   0   0
7 59433   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 59323   2   1  96   0   0
8 57578   2   1  96   0   0
4 58497   2   1  96   0   0
6 57702   2   1  97   0   0
4 58186   2   1  97   0   0
7 59583   3   1  96   0   0
5 58123   2   1  97   0   0
4 59162   2   2  96   0   0
4 58685   3   2  95   0   0
8 58360   3   1  96   0   0
7 59183   3   2  96   0   0
7 58967   2   1  97   0   0
0 58126   3   1  96   0   0
0 58032   2   1  97   0   0
1 58451   2   1  96   0   0
6 58353   3   1  96   0   0
9 59536   3   1  96   0   0
1 59277   3   1  96   0   0
4 59279   2   1  96   0   0
6 58347   3   1  96   0   0
9 58589   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 59202   2   1  96   0   0
4 59291   2   1  97   0   0
6 58535   2   1  97   0   0
0 60929   2   2  97   0   0
4 59968   2   1  97   0   0
5 59145   2   1  97   0   0
9 59776   2   1  96   0   0
8 59342   3   1  96   0   0
6 59891   2   1  97   0   0
8 59529   2   1  97   0   0
9 59865   3   1  96   0   0
4 59653   2   1  97   0   0
6 61852   3   2  96   0   0
0 59906   3   1  96   0   0
6 60392   3   1  96   0   0
7 60055   2   1  97   0   0
8 59938   2   1  96   0   0
8 59257   2   1  97   0   0
1 59910   2   1  97   0   0
0 59077   3   1  96   0   0
3 59899   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 59152   2   1  96   0   0
9 59152   2   1  97   0   0
2 59230   2   1  97   0   0
5 60816   3   2  95   0   0
3 59113   2   1  97   0   0
2 59677   2   1  97   0   0
5 59568   3   1  96   0   0
9 59851   2   1  96   0   0
9 59742   2   2  96   0   0
4 60040   2   1  97   0   0
7 60322   3   1  96   0   0
3 61294   3   1  96   0   0
4 60026   2   2  96   0   0
3 60554   3   1  96   0   0
7 61465   3   1  96   0   0
6 60801   3   1  96   0   0
1 61175   3   1  96   0   0
4 60850   3   2  95   0   0
7 61172   3   1  96   0   0
2 62396   2   2  96   0   0
1 63233   3   2  95   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 62119   3   1  96   0   0
1 64078   3   2  96   0   0
5 63759   3   2  96   0   0
2 65154   3   1  96   0   0
7 67092   4   2  95   0   0
4 64841   3   2  95   0   0
2 67865   2   2  96   0   0
2 65899   2   2  96   0   0
3 69466   3   1  96   0   0
9 73373   2   2  97   0   0
8 77499   2   2  96   0   0
9 76389   2   2  96   0   0
27 318965   8  35  57   0   0
449 722817   2  46  52   0   0
843 709394   2  45  53   0   0
293 703903   2  45  53   0   0
720 711373   2  45  53   0   0
326 734711   2  47  51   0   0
3976 892977   8  19  73   0   0
7913 1150660  10   3  87   0   0
3717 1167300  11   3  86   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8870 1154598  10   3  87   0   0
5417 1167421  11   3  87   0   0
9911 1154917  11   3  87   0   0
6412 1167565  10   2  87   0   0
8539 1168241  11   3  87   0   0
6749 1166929  11   2  87   0   0
8878 1168576  10   3  87   0   0
7635 1168218  10   3  87   0   0
6001 1164223  11   2  86   0   0
9419 1166613  11   3  86   0   0
7925 1169606  10   3  87   0   0
8912 1167091  10   3  87   0   0
8092 1169223  11   3  87   0   0
8446 1168083  11   3  87   0   0
7712 1169287  10   3  87   0   0
8639 1165377  11   3  86   0   0
8095 1169937  11   3  87   0   0
6255 1166026  10   3  88   0   0
9073 1171255  10   3  87   0   0
0847 1169855  10   3  88   0   0
6284 584201   5   2  93   0   0
stem-- --------cpu--------
